hip,name,bayer,flamsteed
80763,Antares,α,21
80809,,,34
80815,,,22
80816,Kornephoros,β,27
80838,Ogma,,
80883,Marfik,λ,10
80894,,φ,8
80927,,,31
80975,,ω,9
81007,,,28
81008,,,29
81022,Rosaliadecastro,,
81065,,γ,
81066,,,32
81122,,μ,
81126,,σ,35
81252,,θ,
81266,Paikauhale,τ,23
81290,,,16
81292,,,17
81300,,,12
81377,,ζ,13
81497,,,42
81634,,,36
81641,,,37
81660,,,18
81693,,ζ,40
81710,,η¹,
81724,,,24
81729,,,39
81734,,,14
81833,,η,44
81852,,β,
81991,,,41
82037,,,16
82073,,,43
82080,,ε,22
82140,,,25
82162,,,19
82216,,,45
82273,Atria,α,
82321,,,52
82324,,,48
82363,,η,
82369,,,20
82396,Larawag,ε,26
82402,,,47
82422,,,50
82480,,,21
82504,,,51
82514,Xamidimura,μ¹,
82526,,,49
82545,Pipirima,μ²,
82587,,,53
82651,Mahsati,,
82671,,ζ¹,
82673,,ι,25
82729,,ζ²,
82730,,,23
82780,,,56
82802,,,54
82860,,,19
82898,,,20
82925,,,24
82960,,,27
82987,,,57
83000,,κ,27
83081,,ζ,
83153,,ε¹,
83196,,,26
83207,,ε,58
83262,,,30
83313,,,59
83331,,,29
83430,,,32
83431,,ε²,
83462,,,61
83547,Rapeto,,
83608,Alrakis,μ,21
83613,,,60
83895,Aldhibah,ζ,22
84012,Sabik,η,35
84054,,,63
84143,,η,
84177,,,37
84345,Rasalgethi,α¹,64
84379,Sarin,δ,65
84380,,π,67
84405,Guniibuu,,36
84500,,,38
84514,,,41
84535,,λ,
84573,,,68
84606,,,69
84625,,ο,39
84626,,ο,39
84787,Inquill,,
84835,,,74
84862,,,72
84880,,ν,53
84887,,,70
84893,,ξ,40
84969,,ζ,
84970,,θ,42
84979,,ι,
85079,,ι,
85084,,,43
85112,,ρ,75
85157,,,73
85258,,β,
85267,,γ,
85312,,κ,
85340,,,44
85355,,σ,49
85365,,,47
85379,,,77
85423,,,45
85670,Rastaban,β,23
85693,Maasym,λ,76
85696,Lesath,υ,34
85699,,,24
85727,,δ,
85755,,,51
85790,,,78
85792,,α,
85805,,,27
85819,,ν¹,24
85822,Yildun,δ,23
85829,,ν²,25
85852,,,29
85927,Shaula,λ,35
85998,,,53
86032,Rasalhague,α,55
86036,,,26
86060,,,52
86092,,σ,
86182,,,82
86201,,ω,28
86228,Sargas,θ,
86254,,,79
86263,,ξ,55
86284,,μ,57
86305,,π,
86414,,ι,85
86486,,λ,
86565,,ο,56
86614,Dziban,ψ,31
86620,,ψ,31
86667,,,83
86670,,κ,
86731,,,84
86736,,,58
86742,Cebalrai,β,60
86782,Alruba,,
86796,Cervantes,μ,
86831,,,61
86929,,η,
86974,,μ,86
87072,,,3
87073,,ι¹,
87108,Bake-eo (or Bake Eo),γ,62
87194,,,87
87212,,,30
87234,,,35
87261,Fuyue,,
87280,,,88
87294,,ι²,
87314,,υ¹,
87379,,υ²,
87563,,,90
87585,Grumium,ξ,32
87706,,,63
87728,,,34
87747,,,89
87808,,θ,91
87833,Eltanin,γ,33
87933,,ξ,92
87937,Barnard's Star,,
87998,,ν,94
88048,,ν,64
88116,,,4
88127,,,40
88128,,,93
88136,,,41
88149,,,66
88175,,ζ,57
88192,,,67
88258,,,6
88267,,,95
88290,,,68
88331,,,96
88346,,,97
88380,,,7
88404,,τ,69
88414,Pincoya,,
88469,,,9
88601,,,70
88635,Alnasl,γ,10
88657,,,98
88714,,θ,
88745,,,99
88765,,,71
88771,,,72
88794,,ο,103
88817,,,100
88818,,,100
88866,,π,
88886,,,102
88899,,,101
88964,,,73
89042,,ι,
89112,,ε,
89153,,,11
89172,,,104
89341,Polis,μ,13
89348,,,36
89369,,,14
89439,,,15
89440,,,16
89448,,,37
89567,,,17
89594,,,38
89642,,η,
89773,,,105
89826,,κ,1
89861,,,106
89908,,φ,43
89918,,,74
89925,,,108
89931,Kaus Media,δ,19
89935,,,107
89937,,χ,44
89962,,η,58
90004,Alasia,,
90098,,ξ,
90133,,φ,
90135,,ζ,
90139,,,109
90156,,,39
90185,Kaus Australis,ε,20
90191,,μ,2
90260,,,18
90289,,,21
90344,Fafnir,,42
90422,,α,
90441,,,59
90496,Kaus Borealis,λ,22
90568,,ζ,
90595,,γ,
90642,,,60
90797,,ν,
90830,,δ¹,
90844,,,61
90853,,δ²,
90905,,,45
90968,,κ²,
90969,,κ¹,
90982,,θ,
91004,,,24
91066,,,25
91117,,α,
91262,Vega,α,3
91689,,,26
91726,,δ,
91755,,,46
91792,,ζ,
91845,,ε,
91852,Xihe,,
91875,,λ,
91919,,ε¹,4
91926,,ε²,5
91971,,ζ¹,6
91973,,ζ²,7
91975,,,4
92041,,φ,27
92043,,,110
92111,,,28
92112,,,50
92117,,,5
92161,,,111
92175,,β,
92204,,,205
92226,,μ,
92294,,θ,
92308,,η¹,
92382,,η²,
92390,,,29
92398,,ν¹,8
92405,,ν,9
92420,Sheliak,β,10
92480,,,30
92512,,ο,47
92524,,,8
92609,,λ,
92614,,,112
92646,,κ,
92728,,δ¹,11
92747,,,33
92761,Ainalrami,ν¹,32
92782,,υ,52
92791,,δ²,12
92818,,,113
92824,,χ,
92845,,ν²,35
92855,Nunki,σ,34
92862,,,13
92872,,,62
92895,Kaveh,,
92946,Alya,θ¹,63
92951,,θ²,63
92997,,,48
93015,,κ,
93026,,η,
93051,,,64
93057,,ξ¹,36
93085,,ξ²,37
93148,,λ,
93163,,ω,
93174,,ε,
93179,,,10
93194,Sulafat,γ,14
93203,,,11
93244,,ε,13
93279,,λ,15
93340,,,49
93408,,,16
93429,,,12
93506,Ascella,ζ,38
93526,,,14
93542,,ζ,
93683,,ο,39
93713,,,51
93717,,,15
93747,Okab,ζ,17
93805,,λ,16
93815,,ρ,
93825,,γ,
93864,,τ,40
93867,,,18
93903,,ι,18
93917,,,17
94005,,δ,
94068,,,19
94083,,,59
94114,Meridiana,α,
94140,,,55
94141,Albaldah,π,41
94160,,β,
94302,,,53
94311,,,19
94376,Altais,δ,57
94385,,,20
94477,,,21
94481,Aladfar,η,20
94490,,,54
94620,,,1
94643,,ψ,42
94645,Gumala,,
94648,,τ,60
94703,,,1
94713,,θ,21
94724,,τ,
94727,,,22
94779,,κ,1
94820,,,43
94827,,,2
94834,,ω¹,25
94885,,,23
94913,,,24
94982,,,28
95002,,ω²,29
95066,,,26
95073,,,27
95081,,π,58
95124,Belel,,
95168,,ρ¹,44
95176,,υ,46
95188,,ρ²,45
95241,Arkab Prior,β¹,
95260,,,3
95261,,η,
95262,Sika,,
95294,Arkab Posterior,β²,
95347,Rukbat,α,
95372,,,2
95398,,,2
95435,,,3
95447,,,31
95477,,χ¹,47
95486,,χ²,48
95498,,,4
95501,,δ,30
95503,,χ³,49
95556,,,4
95560,,,5
95564,,,50
95585,,ν,32
95656,,,7
95771,,α,6
95785,,,8
95793,,,35
95818,,,7
95853,,ι,10
95932,,μ,
95937,,,36
95947,Albireo,β¹,6
95951,,β²,6
96052,,,8
96078,Uruk,,
96100,Alsafi,σ,61
96229,,μ,38
96275,,,9
96302,,,9
96327,,,37
96341,,ι,
96387,,,11
96406,,,51
96441,,θ,13
96465,,,52
96468,,ι,41
96483,,κ,39
96516,,ε,4
96556,,,42
96665,,σ,44
96683,,φ,12
96693,,,14
96729,,,53
96757,Sham,α,5
96807,,,45
96808,,,54
96837,,β,6
96895,,,16
96901,,,16
96931,,,46
96950,,,55
96957,,χ,47
97077,,,10
97118,,,15
97139,,ψ,48
97165,Fawaris,δ,18
97229,,υ,49
97278,Tarazed,γ,50
97290,,,56
97295,,,17
97365,,δ,7
97421,,ν,
97433,,ε,63
97473,,π,52
97496,,ζ,8
97629,,χ,
97630,,,19
97635,,,20
97649,Altair,α,53
97650,,,51
97675,,ο,54
97679,,,12
97783,,,57
97796,,,9
97804,,η,55
97870,,,23
97886,,,13
97928,,,56
97938,Libertas,ξ,59
97966,,,57
97967,,,57
97980,,,58
98032,,ι,
98036,Alshain,β,60
98055,,ψ,24
98066,Terebellum,ω,58
98068,,,22
98085,,,10
98103,,φ,61
98110,,η,21
98162,,,59
98234,,,11
98258,,,61
98337,,γ,12
98353,,,60
98375,,,14
98401,,,69
98412,,θ¹,
98421,,θ²,
98425,,,25
98438,,,13
98478,,μ¹,
98495,,ε,
98543,,,15
98571,,,26
98583,,,64
98624,,μ²,
98633,,,63
98636,,,16
98658,,,65
98688,,,62
98702,,ρ,67
98754,,,14
98819,,,15
98823,Tianfu,τ,63
98844,,,62
98920,,η,16
98953,,,65
98962,,,66
99031,,,27
99080,,,17
99120,,ξ,
99171,,,64
99240,,δ,
99255,,κ,1
99303,,,28
99352,,θ,17
99404,,,18
99473,Antinous,θ,65
99500,,,68
99518,,,19
99529,,ξ¹,1
99531,,,20
99572,,ξ,2
99631,,,66
99639,,,30
99655,,,33
99675,,ο¹,31
99711,Phoenicia,,
99738,,,21
99742,,ρ,67
99770,,,29
99848,,ο²,32
99853,,,22
99874,,,23
99894,Chechia,,
99913,,,18
99918,,,3
99951,,,24
100027,,α¹,5
100044,,,34
100062,,,4
100064,Algedi,α²,6
100108,,,36
100122,,,35
100195,,σ,7
100221,,,71
100310,Alshat,ν,8
100325,,β²,
100345,Dabih,β,9
100435,,,25
100453,Sadr,γ,37
100469,,κ¹,
100587,,,39
100591,,κ²,
100751,Peacock,α,
100859,,,43
100881,,π,10
100907,,,40
100965,,,75
100977,,,68
101027,,ρ,11
101067,,,42
101076,,,41
101082,,,74
101093,,θ,2
101101,,,69
101120,,ο,12
101123,,ο,12
101138,,ω¹,45
101160,,,1
101214,,,44
101243,,ω²,46
101260,,,73
101421,Aldulfin,ε,2
101474,,,47
101477,,ν,
101483,,η,3
101589,,ζ,4
101612,,φ¹,
101641,,,26
101692,,,70
101716,,,27
101751,,τ¹,13
101765,,,48
101769,Rotanev,β,6
101772,,α,
101773,,ρ,
101800,,ι,5
101847,,,71
101867,,,29
101868,,,28
101882,,θ,8
101916,,κ,7
101923,,τ,14
101936,,,1
101958,Sualocin,α,9
101983,,φ²,
101984,,υ,15
102066,,,49
102080,,,10
102098,Deneb,α,50
102125,,μ²,
102157,,υ,
102162,,μ¹,
102177,,,51
102208,,,76
102253,,,4
102281,,δ,11
102333,,η,
102388,,,30
102395,,β,
102422,,η,3
102431,,υ¹,
102453,,,52
102485,,ψ,16
102487,,,17
102488,Aljanah,ε,53
102531,,γ¹,12
102532,,γ²,12
102589,,λ,54
102618,Albali,ε,2
102624,,,3
102633,,,13
102693,,ι,
102724,,,55
102773,,σ,
102790,,ζ,
102805,,,15
102819,,,14
102831,,α,
102843,,,56
102945,,,4
102950,,ι,
102978,,ω,18
102989,,β,
103004,,,31
103005,,,5
103045,,μ,6
103089,,,57
103200,,,32
103226,,,19
103227,,β,
103294,,,17
103298,,,16
103401,,,7
103413,,ν,58
103511,,,33
103527,Musica,,18
103569,,ε,1
103616,,,20
103632,,,59
103682,,,11
103732,,,60
103738,,γ,
103813,,λ,2
103882,,ζ,
103981,,,12
104019,,η,22
104031,,,3
104043,,α,
104060,,ξ,62
104085,,μ,
104101,,,4
104105,,,77
104139,,θ,23
104148,,δ,
104174,,,2
104177,,η,
104194,,,63
104214,,,61
104217,,,61
104234,,,24
104365,,χ,25
104382,Polaris Australis,σ,
104452,,,27
104459,,ν,13
104521,,γ,5
104538,,,6
104732,,ζ,64
104750,,,3
104755,,ο,
104858,,δ,7
104887,,τ,65
104963,,φ,28
104974,,,29
104987,Kitalpha,α,8
105102,,σ,67
105138,,υ,66
105140,,ε,
105143,,,30
105164,,,15
105168,,,31
105186,,,68
105199,Alderamin,α,5
105268,,,6
105319,,θ,
105382,,θ¹,
105411,,,34
105412,,,16
105413,,,9
105502,,,1
105515,,ι,32
105570,,β,10
105574,,,17
105665,,,33
105668,,,18
105696,,θ²,
105729,,,20
105761,,,19
105767,,,21
105811,,,69
105841,,γ,
105858,,γ,
105881,,ζ,34
105928,,,35
105942,,,70
105966,,,35
105972,,,7
106032,Alfirk,β,8
106039,,,36
106067,,,5
106093,,,71
106140,,,2
106278,Sadalsuud,β,22
106327,,ξ,
106340,,,6
106481,,ρ,73
106551,,,72
106559,,,37
106654,,,8
106703,,,7
106711,,,74
106723,,ε,39
106783,,,3
106786,Bunda,ξ,23
106787,,,5
106801,,,9
106824,Sāmaya,,
106856,,,4
106942,,,24
106944,,,25
106985,Nashira,γ,40
106999,,,75
107089,,ν,
107095,,,42
107097,,,76
107119,,,11
107128,,,41
107136,Azelfafage,π¹,80
107144,,,26
107151,,,7
107162,,,77
107188,,κ,43
107230,,,78
107232,,,44
107251,Bosona,,
107253,,,79
107259,Garnet Star,μ,
107302,,,45
107310,,μ¹,78
107315,Enif,ε,8
107348,,,9
107354,,κ,10
107380,,ι,9
107382,,,46
107418,,ν,10
107472,,,12
107487,,,47
107517,,λ,48
107533,,π²,81
107556,Deneb Algedi,δ,49
107575,,,11
107586,,,12
107608,,θ,10
107763,,,14
107788,,,13
107835,,ο,
107843,,λ,
107975,,,15
108022,,,16
108036,,μ,51
108085,Aldhanab,γ,
108165,,,13
108281,,π,
108339,,,17
108375,Itonda,,
108431,,δ,
108478,,κ,
108535,,,16
108612,,,18
108661,,η,12
108691,,,28
108693,,,20
108699,,,19
108772,,,14
108797,,,29
108868,,,30
108870,,ε,
108874,,ο,31
108875,,,21
108917,Kurhah,ξ,17
108924,,,18
108925,,,15
108952,,,13
108991,,,32
109005,,,20
109017,,,19
109056,,,23
109068,,ν,22
109074,Sadalmelik,α,34
109081,,κ,
109111,,λ,
109139,,ι,33
109176,,ι,24
109240,,,25
109268,Alnair,α,
109285,,μ,14
109289,,υ,
109332,,,35
109352,,π¹,27
109400,,,24
109410,,π,29
109422,,τ,15
109427,Biham,θ,26
109458,,,28
109460,,,37
109472,,,38
109492,,ζ,21
109556,,λ,22
109624,,,39
109786,,,41
109789,,λ,16
109857,,ε,23
109908,,μ¹,
109937,,,1
109973,,μ²,
110000,,,42
110003,Ancha,θ,43
110023,,,44
110078,,ψ,
110103,,,25
110130,Lang-Exster,α,
110179,,,45
110256,,ε,
110273,,ρ,46
110298,,,30
110351,,,2
110371,,,32
110386,,,31
110391,,,47
110395,Sadachbia,γ,48
110478,,π¹,
110506,,π²,
110529,,,49
110538,,β,3
110548,,,33
110578,,,51
110602,,,50
110609,,,4
110618,,ν,
110672,,π,52
110778,,,53
110785,,,34
110787,,,28
110813,Lionrock,,
110817,,,26
110838,,δ,
110882,,,35
110936,,ν,
110960,,ζ¹,55
110986,,,36
110988,,δ,27
110991,,δ,27
110997,,δ¹,
111022,,,5
111043,,δ²,
111056,,ρ,29
111062,,,37
111068,,,38
111086,,,56
111104,,,6
111123,,σ,57
111138,,ζ,
111169,Stellio,α,7
111188,,β,17
111196,,υ,
111200,,,58
111278,,,39
111310,,ν,
111394,,,60
111449,,υ,59
111497,,η,62
111532,,,31
111544,,,8
111546,,,8
111594,,σ¹,
111643,,σ²,
111674,,,9
111710,Situla,κ,63
111797,,,30
111810,,,40
111841,,,10
111884,,,41
111944,,,11
111954,,ε,18
112029,Homam,ζ,42
112031,,,12
112051,,ο,43
112102,,,19
112122,Tiaki,β,
112158,Matar,η,44
112179,,,67
112203,,ρ,
112211,,,66
112242,,,13
112358,,,45
112374,,η,
112405,,β,
112440,,λ,47
112447,,ξ,46
112529,,,68
112542,,τ¹,69
112615,,,70
112623,,ε,
112716,,τ²,71
112724,,ι,32
112748,Sadalbari,μ,48
112778,,,14
112781,,ξ,
112862,,,21
112917,,,15
112935,,σ,49
112948,,γ,22
112961,,λ,73
113031,,,74
113044,,τ¹,
113127,,,78
113136,Skat,δ,76
113137,,ρ,
113148,,,77
113167,,,1
113186,,ρ,50
113190,,τ²,
113191,,τ²,
113246,,δ,23
113281,,,16
113288,Tengshe,,
113307,,τ³,
113357,Helvetios,,51
113368,Fomalhaut,α,24
113503,,,52
113521,,,2
113610,,,3
113638,,ζ,
113674,,,81
113726,,ο,1
113781,,,82
113788,,,2
113860,,π,
113881,Scheat,β,53
113889,Fumalsamakah,β,4
113919,,,3
113957,,κ,
113963,Markab,α,54
113996,,,83
114104,,,1
114119,,,86
114131,,θ,
114132,,υ,
114144,,,55
114155,,,56
114200,,,4
114210,,,5
114222,,π,33
114273,,,5
114322,Ebla,,
114341,,,88
114347,,,57
114365,,,2
114375,,,89
114389,,,58
114421,,ι,
114430,,,6
114520,,,59
114526,,,60
114570,,,7
114724,,φ,90
114844,,,61
114855,,ψ¹,91
114939,,χ,92
114971,,γ,6
114996,,γ,
115022,,,8
115033,,ψ²,93
115054,,φ,
115065,,,9
115088,,ο,34
115102,,γ,
115115,,ψ³,95
115126,,,94
115142,,,96
115152,,,11
115191,,,10
115227,,,7
115250,Salm,τ,62
115271,,,63
115280,,,12
115355,,,64
115404,,,97
115407,,,65
115438,,,98
115444,,,66
115590,,,4
115591,,,67
115623,Alkarab,υ,68
115669,,,99
115713,,ο,
115738,,κ,8
115755,,,13
115768,,,9
115806,,,69
115830,,θ,10
115836,,τ,
115919,,,70
116076,Veritate,,14
116084,Poerava,,
116118,,,100
116146,,,13
116231,,β,
116247,,,101
116264,,,71
116310,,,72
116323,,,14
116354,,,15
116355,,,73
116389,,ι,
116422,,,15
116495,,,16
116584,,λ,16
116592,,,74
116611,,,75
116631,,ι,17
116709,,,18
116727,Errai,γ,35
116737,,θ,
116758,,ω¹,102
116771,,ι,17
116805,,κ,19
116820,,μ,
116889,,,103
116901,,,104
116904,,,104
116928,,λ,18
116971,,ω²,105
116972,,,76
117020,,,77
117073,,,78
117089,,,106
117218,,,107
117221,,ψ,20
117245,,,19
117301,,τ,5
117315,,σ,
117375,,,20
117447,,,6
117452,,δ,
117491,,,21
117500,,,79
117628,,,80
117629,,,108
117683,,,22
117689,,γ¹,
117718,,φ,81
117730,,,82
117761,,,24
117774,,,25
117863,,ρ,7
117927,,,26
118114,,γ²,
118121,,η,
118131,,ψ,84
118178,,,1
118209,,,27
118234,,π,
118243,,σ,8
118268,,ω,28
118319,Axólotl,,
118322,,ε,
