iau_id,English,English
and,Andromeda,Andromeda
ant,Antlia,Antlia
aps,Apus,Apus
aql,Aquila,Aquila
aqr,Aquarius,Aquarius
ara,Ara,Ara
ari,Aries,Aries
aur,Auriga,Auriga
boo,Bootes,Bootes
cae,Caelum,Caelum
cam,Camelopardalis,Camelopardalis
cap,Capricornus,Capricornus
car,Carina,Carina
cas,Cassiopeia,Cassiopeia
cen,Centaurus,Centaurus
cep,Cepheus,Cepheus
cet,Cetus,Cetus
cha,Chamaeleon,Chamaeleon
cir,Circinus,Circinus
cma,Canis Major,Canis Major
cmi,Canis Minor,Canis Minor
cnc,Cancer,Cancer
col,Columba,Columba
com,Coma Berenices,Coma Berenices
cra,Corona Australis,Corona Australis
crb,Corona Borealis,Corona Borealis
crt,Crater,Crater
cru,Crux,Crux
crv,Corvus,Corvus
cvn,Canes Venatici,Canes Venatici
cyg,Cygnus,Cygnus
del,Delphinus,Delphinus
dor,Dorado,Dorado
dra,Draco,Draco
equ,Equuleus,Equuleus
eri,Eridanus,Eridanus
for,Fornax,Fornax
gem,Gemini,Gemini
gru,Grus,Grus
her,Hercules,Hercules
hor,Horologium,Horologium
hya,Hydra,Hydra
hyi,Hydrus,Hydrus
ind,Indus,Indus
lac,Lacerta,Lacerta
leo,Leo,Leo
lep,Lepus,Lepus
lib,Libra,Libra
lmi,Leo Minor,Leo Minor
lup,Lupus,Lupus
lyn,Lynx,Lynx
lyr,Lyra,Lyra
men,Mensa,Mensa
mic,Microscopium,Microscopium
mon,Monoceros,Monoceros
mus,Musca,Musca
nor,Norma,Norma
oct,Octans,Octans
oph,Ophiuchus,Ophiuchus
ori,Orion,Orion
pav,Pavo,Pavo
peg,Pegasus,Pegasus
per,Perseus,Perseus
phe,Phoenix,Phoenix
pic,Pictor,Pictor
psa,Piscis Austrinus,Piscis Austrinus
psc,Pisces,Pisces
pup,Puppis,Puppis
pyx,Pyxis,Pyxis
ret,Reticulum,Reticulum
scl,Sculptor,Sculptor
sco,Scorpius,Scorpius
sct,Scutum,Scutum
ser1,Serpens Caput,Serpens Caput
ser2,Serpens Cauda,Serpens Cauda
sex,Sextans,Sextans
sge,Sagitta,Sagitta
sgr,Sagittarius,Sagittarius
tau,Taurus,Taurus
tel,Telescopium,Telescopium
tra,Triangulum Australe,Triangulum Australe
tri,Triangulum,Triangulum
tuc,Tucana,Tucana
uma,Ursa Major,Ursa Major
umi,Ursa Minor,Ursa Minor
vel,Vela,Vela
vir,Virgo,Virgo
vol,Volans,Volans
vul,Vulpecula,Vulpecula