English,English
star,star
deep sky object,deep sky object
open cluster,open cluster
globular cluster,globular cluster
nebula,nebula
galaxy,galaxy
dark nebula,dark nebula
association of stars,association of stars
double star,double star
emission nebula,emission nebula
galaxy pair,galaxy pair
galaxy triplet,galaxy triplet
galaxy cluster,galaxy cluster
group of galaxies,group of galaxies
hii ionized region,hii ionized region
nova star,nova star
planetary nebula,planetary nebula
reflection nebula,reflection nebula
star cluster nebula,star cluster nebula
supernova remnant,supernova remnant
unknown,unknown
Mercury,Mercury
Venus,Venus
Mars,Mars
Jupiter,Jupiter
Saturn,Saturn
Uranus,Uranus
Neptune,Neptune
Pluto,Pluto
Sun,Sun
Moon,Moon
North,North
East,East
South,South
West,West
Ecliptic,Ecliptic
Celestial Equator,Celestial Equator
N (abbreviation for north),N (abbreviation for north)
E (abbreviation for east),E (abbreviation for east)
S (abbreviation for south),S (abbreviation for south)
W (abbreviation for west),W (abbreviation for west)
Milky Way,Milky Way