English,Español
star,estrella
deep sky object,objeto de cielo profundo
open cluster,cúmulo abierto
globular cluster,cúmulo globular
nebula,nebulosa
galaxy,galaxia
dark nebula,nebulosa oscura
association of stars,asociación estelar
double star,estrella doble
emission nebula,nebulosa de emisión
galaxy pair,galaxia doble
galaxy triplet,galaxia triple
galaxy cluster,cúmulo de galaxias
group of galaxies,grupo de galaxias
hii ionized region,región ionizada hii
nova star,estrella nova
planetary nebula,nebulosa planetaria
reflection nebula,nebulosa de reflexión
star cluster nebula,nebulosa de cúmulo abierto
supernova remnant,remanente de supernova
unknown,desconocido
Mercury,Mercurio
Venus,Venus
Mars,Marte
Jupiter,Júpiter
Saturn,Saturno
Uranus,Urano
Neptune,Neptuno
Pluto,Plutón
Sun,Sol
Moon,Luna
North,Norte
East,Este
South,Sur
West,Oeste
Ecliptic,Eclíptica
Celestial Equator,Ecuador Celeste
N (abbreviation for north),N (abreviatura para norte)
E (abbreviation for east),E (abreviatura para este)
S (abbreviation for south),S (abreviatura para sur)
W (abbreviation for west),O (abreviatura para oeste)
Milky Way,Vía Láctea